Series,Country,Rank,Year
"5.02 Tertiary education enrollment, gross %*",Spain,16,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Spain,52,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Spain,69,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Spain,5,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Spain,41,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Spain,40,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Spain,50,2007-2008
5th pillar: Higher education and training,Spain,31,2007-2008
"5.01 Secondary education enrollment, gross %*",Sri Lanka,49,2017-2018
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,97,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,60,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,39,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,49,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,94,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,63,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,58,2017-2018
5th pillar: Higher education and training,Sri Lanka,78,2017-2018
"5.01 Secondary education enrollment, gross %*",Sri Lanka,48,2016-2017
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,98,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,41,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,28,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,38,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,75,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,42,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,51,2016-2017
5th pillar: Higher education and training,Sri Lanka,68,2016-2017
"5.01 Secondary education enrollment, gross %*",Sri Lanka,36,2015-2016
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,98,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,24,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,25,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,31,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,79,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,37,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,63,2015-2016
5th pillar: Higher education and training,Sri Lanka,66,2015-2016
"5.01 Secondary education enrollment, gross %*",Sri Lanka,38,2014-2015
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,98,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,22,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,29,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,35,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,101,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,55,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,56,2014-2015
5th pillar: Higher education and training,Sri Lanka,72,2014-2015
"5.01 Secondary education enrollment, gross %*",Sri Lanka,26,2013-2014
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,105,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,28,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,46,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,37,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,108,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,53,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,52,2013-2014
5th pillar: Higher education and training,Sri Lanka,62,2013-2014
"5.01 Secondary education enrollment, gross %*",Sri Lanka,78,2012-2013
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,100,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,33,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,69,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,38,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,105,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,63,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,80,2012-2013
5th pillar: Higher education and training,Sri Lanka,79,2012-2013
"5.01 Secondary education enrollment, gross %*",Sri Lanka,72,2011-2012
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,96,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,40,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,55,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,40,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,97,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,45,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,49,2011-2012
5th pillar: Higher education and training,Sri Lanka,66,2011-2012
"5.01 Secondary education enrollment, gross %*",Sri Lanka,73,2010-2011
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,96,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,44,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,47,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,37,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,82,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,46,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,37,2010-2011
5th pillar: Higher education and training,Sri Lanka,62,2010-2011
"5.01 Secondary education enrollment, gross %*",Sri Lanka,71,2009-2010
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,92,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,41,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,44,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,40,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,74,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,46,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,68,2009-2010
5th pillar: Higher education and training,Sri Lanka,64,2009-2010
"5.01 Secondary education enrollment, gross %*",Sri Lanka,66,2008-2009
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,102,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,44,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,41,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,41,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,77,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,41,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,59,2008-2009
5th pillar: Higher education and training,Sri Lanka,65,2008-2009
"5.01 Secondary education enrollment, gross %*",Sri Lanka,75,2007-2008
"5.02 Tertiary education enrollment, gross %*",Sri Lanka,99,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Sri Lanka,55,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Sri Lanka,55,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Sri Lanka,56,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Sri Lanka,77,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Sri Lanka,67,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Sri Lanka,51,2007-2008
5th pillar: Higher education and training,Sri Lanka,77,2007-2008
"5.01 Secondary education enrollment, gross %*",Suriname,,2017-2018
"5.02 Tertiary education enrollment, gross %*",Suriname,,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Suriname,,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Suriname,,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Suriname,,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Suriname,,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Suriname,,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Suriname,,2017-2018
5th pillar: Higher education and training,Suriname,,2017-2018
"5.01 Secondary education enrollment, gross %*",Suriname,,2016-2017
"5.02 Tertiary education enrollment, gross %*",Suriname,,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Suriname,,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Suriname,,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Suriname,,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Suriname,,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Suriname,,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Suriname,,2016-2017
5th pillar: Higher education and training,Suriname,,2016-2017
"5.01 Secondary education enrollment, gross %*",Suriname,,2015-2016
"5.02 Tertiary education enrollment, gross %*",Suriname,,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Suriname,,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Suriname,,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Suriname,,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Suriname,,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Suriname,,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Suriname,,2015-2016
5th pillar: Higher education and training,Suriname,,2015-2016
"5.01 Secondary education enrollment, gross %*",Suriname,88,2014-2015
"5.02 Tertiary education enrollment, gross %*",Suriname,108,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Suriname,118,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Suriname,89,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Suriname,83,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Suriname,125,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Suriname,130,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Suriname,101,2014-2015
5th pillar: Higher education and training,Suriname,105,2014-2015
"5.01 Secondary education enrollment, gross %*",Suriname,82,2013-2014
"5.02 Tertiary education enrollment, gross %*",Suriname,110,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Suriname,102,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Suriname,81,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Suriname,80,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Suriname,131,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Suriname,118,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Suriname,74,2013-2014
5th pillar: Higher education and training,Suriname,98,2013-2014
"5.01 Secondary education enrollment, gross %*",Suriname,97,2012-2013
"5.02 Tertiary education enrollment, gross %*",Suriname,104,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Suriname,84,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Suriname,85,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Suriname,63,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Suriname,125,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Suriname,115,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Suriname,47,2012-2013
5th pillar: Higher education and training,Suriname,102,2012-2013
"5.01 Secondary education enrollment, gross %*",Suriname,97,2011-2012
"5.02 Tertiary education enrollment, gross %*",Suriname,102,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Suriname,81,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Suriname,89,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Suriname,75,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Suriname,126,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Suriname,129,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Suriname,61,2011-2012
5th pillar: Higher education and training,Suriname,104,2011-2012
"5.01 Secondary education enrollment, gross %*",Suriname,,2010-2011
"5.02 Tertiary education enrollment, gross %*",Suriname,,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Suriname,,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Suriname,,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Suriname,,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Suriname,,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Suriname,,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Suriname,,2010-2011
5th pillar: Higher education and training,Suriname,,2010-2011
"5.01 Secondary education enrollment, gross %*",Suriname,,2009-2010
"5.02 Tertiary education enrollment, gross %*",Suriname,,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Suriname,,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Suriname,,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Suriname,,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Suriname,,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Suriname,,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Suriname,,2009-2010
5th pillar: Higher education and training,Suriname,,2009-2010
"5.01 Secondary education enrollment, gross %*",Suriname,,2008-2009
"5.02 Tertiary education enrollment, gross %*",Suriname,,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Suriname,,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Suriname,,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Suriname,,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Suriname,,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Suriname,,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Suriname,,2008-2009
5th pillar: Higher education and training,Suriname,,2008-2009
"5.01 Secondary education enrollment, gross %*",Suriname,,2007-2008
"5.02 Tertiary education enrollment, gross %*",Suriname,,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Suriname,,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Suriname,,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Suriname,,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Suriname,,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Suriname,,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Suriname,,2007-2008
5th pillar: Higher education and training,Suriname,,2007-2008
"5.01 Secondary education enrollment, gross %*",Swaziland,101,2017-2018
"5.02 Tertiary education enrollment, gross %*",Swaziland,125,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Swaziland,76,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,95,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Swaziland,133,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Swaziland,133,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,107,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Swaziland,65,2017-2018
5th pillar: Higher education and training,Swaziland,112,2017-2018
"5.01 Secondary education enrollment, gross %*",Swaziland,,2016-2017
"5.02 Tertiary education enrollment, gross %*",Swaziland,,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Swaziland,,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Swaziland,,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Swaziland,,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Swaziland,,2016-2017
5th pillar: Higher education and training,Swaziland,,2016-2017
"5.01 Secondary education enrollment, gross %*",Swaziland,112,2015-2016
"5.02 Tertiary education enrollment, gross %*",Swaziland,126,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Swaziland,80,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,86,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Swaziland,122,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Swaziland,131,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,120,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Swaziland,71,2015-2016
5th pillar: Higher education and training,Swaziland,118,2015-2016
"5.01 Secondary education enrollment, gross %*",Swaziland,114,2014-2015
"5.02 Tertiary education enrollment, gross %*",Swaziland,125,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Swaziland,64,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,78,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Swaziland,122,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Swaziland,119,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,121,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Swaziland,79,2014-2015
5th pillar: Higher education and training,Swaziland,120,2014-2015
"5.01 Secondary education enrollment, gross %*",Swaziland,112,2013-2014
"5.02 Tertiary education enrollment, gross %*",Swaziland,131,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Swaziland,81,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,91,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Swaziland,128,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Swaziland,112,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,120,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Swaziland,86,2013-2014
5th pillar: Higher education and training,Swaziland,117,2013-2014
"5.01 Secondary education enrollment, gross %*",Swaziland,111,2012-2013
"5.02 Tertiary education enrollment, gross %*",Swaziland,126,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Swaziland,110,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,110,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Swaziland,135,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Swaziland,126,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,132,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Swaziland,87,2012-2013
5th pillar: Higher education and training,Swaziland,125,2012-2013
"5.01 Secondary education enrollment, gross %*",Swaziland,113,2011-2012
"5.02 Tertiary education enrollment, gross %*",Swaziland,125,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Swaziland,110,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,110,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Swaziland,138,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Swaziland,127,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,138,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Swaziland,92,2011-2012
5th pillar: Higher education and training,Swaziland,127,2011-2012
"5.01 Secondary education enrollment, gross %*",Swaziland,113,2010-2011
"5.02 Tertiary education enrollment, gross %*",Swaziland,122,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Swaziland,101,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,91,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Swaziland,134,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Swaziland,116,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,137,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Swaziland,97,2010-2011
5th pillar: Higher education and training,Swaziland,125,2010-2011
"5.01 Secondary education enrollment, gross %*",Swaziland,,2009-2010
"5.02 Tertiary education enrollment, gross %*",Swaziland,,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Swaziland,,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Swaziland,,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Swaziland,,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Swaziland,,2009-2010
5th pillar: Higher education and training,Swaziland,,2009-2010
"5.01 Secondary education enrollment, gross %*",Swaziland,,2008-2009
"5.02 Tertiary education enrollment, gross %*",Swaziland,,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Swaziland,,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Swaziland,,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Swaziland,,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Swaziland,,2008-2009
5th pillar: Higher education and training,Swaziland,,2008-2009
"5.01 Secondary education enrollment, gross %*",Swaziland,,2007-2008
"5.02 Tertiary education enrollment, gross %*",Swaziland,,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Swaziland,,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Swaziland,,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Swaziland,,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Swaziland,,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Swaziland,,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Swaziland,,2007-2008
5th pillar: Higher education and training,Swaziland,,2007-2008
"5.01 Secondary education enrollment, gross %*",Sweden,3,2017-2018
"5.02 Tertiary education enrollment, gross %*",Sweden,42,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Sweden,20,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Sweden,46,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Sweden,22,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Sweden,3,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Sweden,16,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Sweden,8,2017-2018
5th pillar: Higher education and training,Sweden,18,2017-2018
"5.01 Secondary education enrollment, gross %*",Sweden,4,2016-2017
"5.02 Tertiary education enrollment, gross %*",Sweden,43,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Sweden,23,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Sweden,51,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Sweden,19,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Sweden,3,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Sweden,15,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Sweden,4,2016-2017
5th pillar: Higher education and training,Sweden,15,2016-2017
"5.01 Secondary education enrollment, gross %*",Sweden,41,2015-2016
"5.02 Tertiary education enrollment, gross %*",Sweden,26,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Sweden,25,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Sweden,43,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Sweden,16,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Sweden,4,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Sweden,14,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Sweden,8,2015-2016
5th pillar: Higher education and training,Sweden,12,2015-2016
"5.01 Secondary education enrollment, gross %*",Sweden,40,2014-2015
"5.02 Tertiary education enrollment, gross %*",Sweden,27,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Sweden,26,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Sweden,49,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Sweden,23,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Sweden,8,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Sweden,15,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Sweden,10,2014-2015
5th pillar: Higher education and training,Sweden,14,2014-2015
"5.01 Secondary education enrollment, gross %*",Sweden,43,2013-2014
"5.02 Tertiary education enrollment, gross %*",Sweden,18,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Sweden,17,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Sweden,41,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Sweden,15,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Sweden,8,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Sweden,8,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Sweden,7,2013-2014
5th pillar: Higher education and training,Sweden,8,2013-2014
"5.01 Secondary education enrollment, gross %*",Sweden,36,2012-2013
"5.02 Tertiary education enrollment, gross %*",Sweden,17,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Sweden,12,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Sweden,36,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Sweden,11,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Sweden,11,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Sweden,7,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Sweden,6,2012-2013
5th pillar: Higher education and training,Sweden,7,2012-2013
"5.01 Secondary education enrollment, gross %*",Sweden,14,2011-2012
"5.02 Tertiary education enrollment, gross %*",Sweden,17,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Sweden,8,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Sweden,28,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Sweden,9,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Sweden,2,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Sweden,4,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Sweden,2,2011-2012
5th pillar: Higher education and training,Sweden,2,2011-2012
"5.01 Secondary education enrollment, gross %*",Sweden,13,2010-2011
"5.02 Tertiary education enrollment, gross %*",Sweden,16,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Sweden,8,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Sweden,20,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Sweden,7,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Sweden,3,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Sweden,3,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Sweden,1,2010-2011
5th pillar: Higher education and training,Sweden,2,2010-2011
"5.01 Secondary education enrollment, gross %*",Sweden,14,2009-2010
"5.02 Tertiary education enrollment, gross %*",Sweden,12,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Sweden,12,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Sweden,36,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Sweden,14,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Sweden,3,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Sweden,7,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Sweden,1,2009-2010
5th pillar: Higher education and training,Sweden,3,2009-2010
"5.01 Secondary education enrollment, gross %*",Sweden,16,2008-2009
"5.02 Tertiary education enrollment, gross %*",Sweden,9,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Sweden,12,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Sweden,39,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Sweden,15,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Sweden,4,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Sweden,7,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Sweden,4,2008-2009
5th pillar: Higher education and training,Sweden,3,2008-2009
"5.01 Secondary education enrollment, gross %*",Sweden,18,2007-2008
"5.02 Tertiary education enrollment, gross %*",Sweden,4,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Sweden,16,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Sweden,33,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Sweden,13,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Sweden,3,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Sweden,4,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Sweden,3,2007-2008
5th pillar: Higher education and training,Sweden,2,2007-2008
